,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,sentiment
0,1546652739878486017,"RT @TheJewsNFT: Idk who needs to hear this, but Jews are in charge

💰 MAX BIDDING THE WORLD 🌎 SINCE THE BIRTH OF HUMANITY ✡️

🇮🇱 5555 Jews…",11241,0,0,0,0.5113
1,1546652737328201728,"RT @superphiz: Best community support for Ethereum Staking:
* https://t.co/Nygg6N60su
* https://t.co/3jC8S6wGGe
Best guides for setting up…",14,0,0,0,0.9886
2,1546652737274007552,"RT @TheTurksNFT: 💸 Free Mint 

🇹🇷 5,555 Turks on Ethereum 

🍢Kebabing The World!

💟🔁 Like, RT &amp; fill out form for WL:
https://t.co/BxTcquVQ…",9642,0,0,0,0.9467
3,1546652734237073414,"Slow 8 | Normal 10 | Fast 13.8 | Instant 21.3 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH

Have you used the other bots in my family? @AVAXGas, @FTMGas",0,0,0,0,0.9542
4,1546652733033238528,"(URGENT) ETH BROKE SUPPORT, GOING BELOW $1K? #shorts https://t.co/4BEwQ6tGJA #ethereum #crypto",0,0,0,0,-0.9999
5,1546652730407665670,"RT @TheRevMMJ: The next Wizz Radio 🎙 Powered by @BinkiesNFT will be hosted at our new home.

#NFTCommunity #NFTs #technews #Ethereum #crofa…",2,0,0,0,0.9944
6,1546652726804840449,"RT @ParikPatelCFA: This is not Bitcoin, Ethereum or even a shitcoin. It’s the Euro against the Dollar https://t.co/0kPyAnrtfu",352,0,0,0,-0.9999
7,1546652724909035521,"Mutant Ape #4737

Buyer: craigmack.eth 🔥
Price: 0.1 ETH ($109.43) on OpenSea 🌊

#GACC #MACC #MutantApeCountryClub #NFT by @GrandpaApeCC
https://t.co/lhGs5Jtz6G",1,0,1,0,-0.868
8,1546652723885625344,"RT @TroopSales: Roo #4777 swept by nftquillen 
1/1
https://t.co/Fut4L3DnLs
Sweep value: 0.889 ETH ($1,013.16) https://t.co/4T2m46C1FG",9,0,0,0,0.9611
9,1546652722337923072,"in Japan, #BTC is religion. I love it! All works! #eth #ethereum #binance #bitcoin btc #crypto #cryptocurrency

https://t.co/q9gnfJtrEQ",0,0,0,0,0.9935
10,1546652719074639872,"#Bitcoin Last Price $19871 #BTC 🚀
Daily Indicators:
•Pivot Fibonacci:
 -Support 1: 17690
 -S2: 14297
 -S3: 8807
 -Middle: 23180
 -Resistance 1: 28671

#Ethereum Last Price $1090 #ETH
•Pivot:
 -S1: 891
 -S2: 633
 -S3: 216
 -M: 1308
 -R1: 1726

#Crypto #DeFi
(3/3)
154847",0,0,0,0,0.9781
11,1546652717585932288,"🧹 WZRD #9660 bought for 0.26 ETH.
Buyer: 0xA6aE96
Seller: 0x5c89Ce
Avg Price: Ξ0.29

Traits
Type: Human
Prop: Magic Blunt - 2.35%

https://t.co/0C78Zhpiwp
#WZRDS #WZRDSWRLD #WeWRZDS #WZRDSfollowWRZDS #NFT https://t.co/euOxKrDUvw",0,0,0,0,0.5985
