Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,10896714,4400,10.22,3005,10.20,10.22,10829039,67675
VIXY,1524524,4600,14.54,100,14.52,14.53,1515569,8955
UVIX,925801,6100,10.50,3105,10.46,10.50,863826,61975
USHY,659476,100,42.13,20,35.80,35.84,614810,44666
IEFA,564406,1,60.99,1,59.50,59.97,558402,6004
SVXY,506201,100,53.40,100,53.35,53.38,500680,5521
ARKG,505905,1,36.54,200,35.80,36.19,502641,3264
ITB,494867,100,64.06,2,54.99,58.80,492984,1883
GOVT,304127,100,27.95,100,19.59,23.74,303045,1082
IGV,271386,100,346.96,5,290.00,294.83,263914,7472
VXX,267183,100,21.12,10,21.11,21.12,260693,6490
SVIX,241483,200,12.64,10500,12.62,12.63,237823,3660
EZU,210668,100,43.03,1,36.12,36.18,205496,5172
USMV,189640,100,89.21,70,73.08,74.77,184840,4800
INDA,189498,20,44.50,37,42.60,42.69,186801,2697
BBEU,167426,200,58.88,200,35.34,46.33,166876,550
EFV,155332,100,50.62,5,40.00,43.29,154732,600
MTUM,152748,1,147.00,100,115.35,145.45,152476,272
VLUE,146398,100,112.81,100,79.18,95.82,145749,649
CBOE,134181,100,145.21,15,122.07,123.63,133526,655
JPST,131915,700,50.20,2500,50.18,50.19,131915,0
ITM,97728,200,57.55,100,38.08,45.93,92244,5484
IDV,91747,100,33.83,2,27.10,27.10,91578,169
COWZ,83378,23,50.00,25,44.97,46.68,83023,355
QUAL,81673,5,126.10,100,100.65,121.54,80721,952
EFAV,81460,100,79.41,100,50.06,64.07,80683,777
ECH,81187,100,33.19,100,19.07,25.87,79698,1489
FAUG,71772,200,46.05,200,27.63,36.27,71772,0
REM,69551,100,33.98,239,27.50,28.93,69151,400
PAVE,68981,1,27.28,5,26.40,26.58,67780,1201
FLOT,61302,100,58.95,20,50.20,50.28,61268,34
ENOR,52738,200,40.02,1,26.00,26.48,52738,0
BBJP,52383,200,58.03,100,38.05,45.95,49603,2780
ICSH,45394,100,58.65,100,41.51,50.08,45133,261
IYZ,42848,100,30.82,1,25.71,25.85,42748,100
GVI,42763,100,130.42,100,82.21,105.31,42763,0
MOAT,40838,10,76.67,10,57.60,69.79,40746,92
AAAU,39281,10900,17.24,800,17.22,17.23,39181,100
NOBL,38430,5,92.78,8,92.00,92.07,38430,0
VIXM,37459,300,33.50,300,31.79,33.50,37419,40
EFG,34603,100,103.61,100,65.31,83.55,32206,2397
ARKQ,32819,11,56.17,200,54.00,54.35,32819,0
IGE,31337,100,45.72,100,32.00,38.92,30996,341
FBCG,31161,100,32.20,100,20.40,25.05,25662,5499
BBAX,31114,200,61.32,200,36.80,48.72,28810,2304
BBCA,29085,100,75.82,100,48.00,61.50,19277,9808
IEO,29053,125,97.30,1,89.00,91.22,28653,400
HYD,28906,100,65.44,100,44.73,53.97,28630,276
JMST,27527,100,62.57,100,41.87,50.50,27413,114
FGRO,24672,100,20.41,100,9.92,14.72,24672,0
RPHS,24563,200,13.53,200,4.51,8.88,24563,0
PAUG,23748,1700,29.17,100,21.81,29.17,23181,567
DFIC,22470,200,33.46,200,11.16,21.92,21370,1100
IYJ,22060,100,116.28,100,80.00,98.35,22054,6
IYT,21896,100,283.00,100,192.47,239.37,21859,37
DRSK,21558,100,34.49,100,20.07,26.82,21558,0
ESGV,20409,70,78.50,20,65.00,73.06,20409,0
PICK,20100,100,47.94,200,36.94,37.28,20100,0
TAIL,19926,100,19.84,100,13.39,16.37,19823,103
ITA,18906,5,104.89,50,104.32,104.45,18234,672
CEMB,18782,200,54.51,200,32.71,43.50,18738,44
ARKX,18015,100,17.35,461,14.67,14.75,17969,46
OILK,17814,1300,49.74,100,48.36,48.78,17814,0
LQDI,17769,200,33.67,200,20.21,26.92,17769,0
EEMV,16961,100,76.10,100,46.06,55.58,15873,1088
CALF,16734,100,49.45,100,28.76,38.51,16734,0
